species;biomass;NumberAdults;TrapID;Exploratory;plot;PlotIDYear;month;year;Order;Suborder;Family;Genus;epitheton;subspecies;length;feeding_guild;LUI;replicate;Rep_ID
Hypomma cornutum;1.837782395;1;AEG19-KEFJun2017;ALB;AEG19;AEG19_2017;Jun;2017;Araneae;Labidognatha;Linyphiidae;Hypomma;cornutum;;2.4;c;1.89;B;AEG19-KEFJun2017B
Theridion varians;3.609947625;1;AEG19-KEFJun2017;ALB;AEG19;AEG19_2017;Jun;2017;Araneae;Labidognatha;Theridiidae;Theridion;varians;;3.13;c;1.89;B;AEG19-KEFJun2017B
Errastunus ocellaris;4.485252586;2;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Errastunus;ocellaris;;3.35;h;3.86;A;AEG02-KEFAug2017A
Macrosteles laevis;18.63956646;7;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;3.86;A;AEG02-KEFAug2017A
Notostira erratica;15.28166428;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Notostira;erratica;;7.6;h;3.86;A;AEG02-KEFAug2017A
Macrosteles cristatus;14.67603062;5;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;3.86;A;AEG02-KEFAug2017A
Laodelphax striatellus;8.654345952;4;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Fulgoromorpha;Delphacidae;Laodelphax;striatellus;;3.3;h;3.86;A;AEG02-KEFAug2017A
Trigonotylus caelestialium;16.75952939;2;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;3.86;A;AEG02-KEFAug2017A
Sitona sulcifrons;2.646757662;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Coleoptera;Polyphaga;Curculionidae;Sitona;sulcifrons;;3.5;h;3.86;A;AEG02-KEFAug2017A
Deltocephalus pulicaris;1.400386152;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;3.86;A;AEG02-KEFAug2017A
Phyllotreta vittula;0.403577871;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Coleoptera;Polyphaga;Chrysomelidae;Phyllotreta;vittula;;1.65;h;3.86;A;AEG02-KEFAug2017A
Psammotettix alienus;3.738201942;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;alienus;;4.15;h;3.86;A;AEG02-KEFAug2017A
Javesella pellucida;2.575400943;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;3.86;A;AEG02-KEFAug2017A
Arthaldeus pascuellus;2.489696185;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;3.86;A;AEG02-KEFAug2017A
Nabis pseudoferus;14.8088174;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Heteroptera;Nabidae;Nabis;pseudoferus;;7.5;c;3.86;A;AEG02-KEFAug2017A
Trigonotylus caelestialium;8.379764693;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;3.86;B;AEG02-KEFAug2017B
Nabis pseudoferus;29.61763479;2;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Heteroptera;Nabidae;Nabis;pseudoferus;;7.5;c;3.86;B;AEG02-KEFAug2017B
Macrosteles cristatus;11.74082449;4;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;3.86;B;AEG02-KEFAug2017B
Chorthippus parallelus;160.5841839;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;3.86;B;AEG02-KEFAug2017B
Longitarsus melanocephalus;1.140901002;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;melanocephalus;;2.5;h;3.86;B;AEG02-KEFAug2017B
Deltocephalus pulicaris;1.400386152;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;3.86;B;AEG02-KEFAug2017B
Zyginidia scutellaris;1.524964859;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Zyginidia;scutellaris;;2.85;h;3.86;B;AEG02-KEFAug2017B
Macrosteles laevis;5.325590418;2;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;3.86;B;AEG02-KEFAug2017B
Javesella pellucida;2.575400943;1;AEG02-KEFAug2017;ALB;AEG2;AEG2_2017;Aug;2017;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;3.86;B;AEG02-KEFAug2017B
Nabis pseudoferus;14.8088174;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Hemiptera;Heteroptera;Nabidae;Nabis;pseudoferus;;7.5;c;3.86;A;AEG02-KEFJun2017A
Zyginidia scutellaris;1.524964859;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Zyginidia;scutellaris;;2.85;h;3.86;A;AEG02-KEFJun2017A
Tenuiphantes tenuis;2.964739198;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Araneae;Labidognatha;Linyphiidae;Tenuiphantes;tenuis;;2.88;c;3.86;A;AEG02-KEFJun2017A
Longitarsus luridus;1.074549653;2;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;luridus;;1.85;h;3.86;A;AEG02-KEFJun2017A
Oulema melanopus;3.696170856;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Oulema;melanopus;;4;h;3.86;A;AEG02-KEFJun2017A
Capsus ater;7.721310771;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Capsus;ater;;5.7;h;3.86;A;AEG02-KEFJun2017A
Phylloneta impressa;8.227187377;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Araneae;Labidognatha;Theridiidae;Phylloneta;impressa;;4.25;c;3.86;A;AEG02-KEFJun2017A
Plagiognathus chrysanthemi;2.594811621;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Plagiognathus;chrysanthemi;;3.6;h;3.86;A;AEG02-KEFJun2017A
Longitarsus luridus;1.61182448;3;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;luridus;;1.85;h;3.86;B;AEG02-KEFJun2017B
Cantharis fulvicollis;22.56970689;2;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Coleoptera;Polyphaga;Cantharidae;Cantharis;fulvicollis;;6.25;c;3.86;B;AEG02-KEFJun2017B
Entelecara congenera;1.051729214;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Araneae;Labidognatha;Linyphiidae;Entelecara;congenera;;1.94;c;3.86;B;AEG02-KEFJun2017B
Trigonotylus caelestialium;8.379764693;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;3.86;B;AEG02-KEFJun2017B
Mangora acalypha;9.596244387;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Araneae;Labidognatha;Araneidae;Mangora;acalypha;;4.5;c;3.86;B;AEG02-KEFJun2017B
Aphrophora alni;15.3425015;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Hemiptera;Cicadomorpha;Aphrophoridae;Aphrophora;alni;;7.5;h;3.86;B;AEG02-KEFJun2017B
Eupteryx notata;1.01200818;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Eupteryx;notata;;2.4;h;3.86;B;AEG02-KEFJun2017B
Meioneta rurestris;22.4358303;1;AEG02-KEFJun2017;ALB;AEG2;AEG2_2017;Jun;2017;Araneae;Labidognatha;Linyphiidae;Meioneta;rurestris;;6.23;c;3.86;B;AEG02-KEFJun2017B
Notostira elongata;55.55525411;4;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Notostira;elongata;;7.3;h;1.2;A;AEG20-KEFJun2017A
Zyginidia scutellaris;1.524964859;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Zyginidia;scutellaris;;2.85;h;1.2;A;AEG20-KEFJun2017A
Philaenus spumarius;9.371238401;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;1.2;A;AEG20-KEFJun2017A
Pithanus maerkelii;8.81258443;2;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Pithanus;maerkelii;;4.5;h;1.2;A;AEG20-KEFJun2017A
Propylea quatuordecimpunctata;3.696170856;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Coleoptera;Polyphaga;Coccinellidae;Propylea;quatuordecimpunctata;;4;c;1.2;A;AEG20-KEFJun2017A
Mangora acalypha;9.596244387;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Araneae;Labidognatha;Araneidae;Mangora;acalypha;;4.5;c;1.2;A;AEG20-KEFJun2017A
Stenodema laevigata;38.75651708;2;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Stenodema;laevigata;;8.4;h;1.2;A;AEG20-KEFJun2017A
Paidiscura pallens;0.572774316;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Araneae;Labidognatha;Theridiidae;Paidiscura;pallens;;1.58;c;1.2;A;AEG20-KEFJun2017A
Leptopterna dolabrata;56.50587026;3;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Leptopterna;dolabrata;;8.3;h;1.2;A;AEG20-KEFJun2017A
Philodromus albidus;7.694991056;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Araneae;Labidognatha;Philodromidae;Philodromus;albidus;;4.12;c;1.2;A;AEG20-KEFJun2017A
Javesella pellucida;2.575400943;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;1.2;A;AEG20-KEFJun2017A
Stenotus binotatus;21.86793401;2;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Stenotus;binotatus;;6.6;h;1.2;A;AEG20-KEFJun2017A
Meligethes aeneus;0.737684157;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Coleoptera;Polyphaga;Nitidulidae;Meligethes;aeneus;;2.1;h;1.2;A;AEG20-KEFJun2017A
Stenodema holsata;10.54492257;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Stenodema;holsata;;6.5;h;1.2;A;AEG20-KEFJun2017A
Deltocephalus pulicaris;1.400386152;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;1.2;A;AEG20-KEFJun2017A
Oulema gallaeciana;3.696170856;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Oulema;gallaeciana;;4;h;1.2;B;AEG20-KEFJun2017B
Euscelis incisus;5.685377537;2;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Euscelis;incisus;;3.7;h;1.2;B;AEG20-KEFJun2017B
Arthaldeus pascuellus;2.489696185;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.2;B;AEG20-KEFJun2017B
Chaetocnema hortensis;0.574331658;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Chaetocnema;hortensis;;1.9;h;1.2;B;AEG20-KEFJun2017B
Zyginidia scutellaris;3.049929718;2;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Zyginidia;scutellaris;;2.85;h;1.2;B;AEG20-KEFJun2017B
Stenodema laevigata;58.13477561;3;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Stenodema;laevigata;;8.4;h;1.2;B;AEG20-KEFJun2017B
Laodelphax striatellus;8.654345952;4;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Fulgoromorpha;Delphacidae;Laodelphax;striatellus;;3.3;h;1.2;B;AEG20-KEFJun2017B
Stenotus binotatus;10.93396701;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Stenotus;binotatus;;6.6;h;1.2;B;AEG20-KEFJun2017B
Javesella pellucida;5.150801886;2;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;1.2;B;AEG20-KEFJun2017B
Leptopterna dolabrata;18.83529009;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Leptopterna;dolabrata;;8.3;h;1.2;B;AEG20-KEFJun2017B
Notostira elongata;41.66644058;3;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Notostira;elongata;;7.3;h;1.2;B;AEG20-KEFJun2017B
Criocoris crassicornis;2.110734357;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Criocoris;crassicornis;;3.3;h;1.2;B;AEG20-KEFJun2017B
Axinotarsus pulicarius;2.198974969;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Coleoptera;Polyphaga;Malachidae;Axinotarsus;pulicarius;;3.25;o;1.2;B;AEG20-KEFJun2017B
Hyledelphax elegantulus;1.723500103;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Fulgoromorpha;Delphacidae;Hyledelphax;elegantulus;;3;h;1.2;B;AEG20-KEFJun2017B
Polymerus nigrita;4.177468668;1;AEG20-KEFJun2017;ALB;AEG20;AEG20_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Polymerus;nigrita;;4.4;h;1.2;B;AEG20-KEFJun2017B
Deltocephalus pulicaris;1.400386152;1;AEG20-KEFAug2017;ALB;AEG20;AEG20_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;1.2;A;AEG20-KEFAug2017A
Nabis rugosus;24.30070582;2;AEG20-KEFAug2017;ALB;AEG20;AEG20_2017;Aug;2017;Hemiptera;Heteroptera;Nabidae;Nabis;rugosus;;6.9;c;1.2;A;AEG20-KEFAug2017A
Polymerus unifasciatus;8.379764693;1;AEG20-KEFAug2017;ALB;AEG20;AEG20_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.2;A;AEG20-KEFAug2017A
Arthaldeus pascuellus;2.489696185;1;AEG20-KEFAug2017;ALB;AEG20;AEG20_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.2;A;AEG20-KEFAug2017A
Macrosteles cristatus;2.935206124;1;AEG20-KEFAug2017;ALB;AEG20;AEG20_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;1.2;A;AEG20-KEFAug2017A
Arthaldeus pascuellus;7.469088555;3;AEG20-KEFAug2017;ALB;AEG20;AEG20_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.2;B;AEG20-KEFAug2017B
Deltocephalus pulicaris;2.800772304;2;AEG20-KEFAug2017;ALB;AEG20;AEG20_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;1.2;B;AEG20-KEFAug2017B
Longitarsus succineus;1.838644715;3;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;succineus;;1.95;h;3.21;A;AEG21-KEFJun2017A
Longitarsus pratensis;2.242101798;6;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;pratensis;;1.6;h;3.21;A;AEG21-KEFJun2017A
Berytinus minor;8.720731537;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Berytidae;Berytinus;minor;;6;h;3.21;A;AEG21-KEFJun2017A
Psammotettix helvolus;2.010424871;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;helvolus;;3.2;h;3.21;A;AEG21-KEFJun2017A
Plagiognathus chrysanthemi;10.37924649;4;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Plagiognathus;chrysanthemi;;3.6;h;3.21;A;AEG21-KEFJun2017A
Eupteryx atropunctata;2.662795209;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Eupteryx;atropunctata;;3.6;h;3.21;A;AEG21-KEFJun2017A
Protapion interjectum;0.652944126;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Coleoptera;Polyphaga;Apionidae;Protapion;interjectum;;2;h;3.21;A;AEG21-KEFJun2017A
Longitarsus melanocephalus;1.140901002;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;melanocephalus;;2.5;h;3.21;A;AEG21-KEFJun2017A
Olibrus bimaculatus;1.198828313;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Coleoptera;Polyphaga;Phalacridae;Olibrus;bimaculatus;;2.55;h;3.21;A;AEG21-KEFJun2017A
Psammotettix confinis;2.662795209;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;confinis;;3.6;h;3.21;A;AEG21-KEFJun2017A
Criocoris crassicornis;2.110734357;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Criocoris;crassicornis;;3.3;h;3.21;A;AEG21-KEFJun2017A
Polymerus unifasciatus;41.89882346;5;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;3.21;A;AEG21-KEFJun2017A
Nabis brevis;9.426391633;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Nabidae;Nabis;brevis;;6.2;c;3.21;A;AEG21-KEFJun2017A
Platnickina tincta;4.16253636;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Araneae;Labidognatha;Theridiidae;Platnickina;tincta;;3.3;c;3.21;A;AEG21-KEFJun2017A
Notostira elongata;13.88881353;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Notostira;elongata;;7.3;h;3.21;A;AEG21-KEFJun2017A
Xysticus kochi;21.8998113;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Araneae;Labidognatha;Thomisidae;Xysticus;kochi;;6.55;c;3.21;A;AEG21-KEFJun2017A
Calocoris roseomaculatus;13.44157049;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Calocoris;roseomaculatus;;7.2;h;3.21;A;AEG21-KEFJun2017A
Capsus ater;7.721310771;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Capsus;ater;;5.7;h;3.21;A;AEG21-KEFJun2017A
Anaceratagallia ribauti;1.792831263;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Anaceratagallia;ribauti;;3.05;h;3.21;A;AEG21-KEFJun2017A
Arthaldeus pascuellus;2.489696185;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;3.21;A;AEG21-KEFJun2017A
Graphocraerus ventralis;7.319903861;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Graphocraerus;ventralis;;5.5;h;3.21;A;AEG21-KEFJun2017A
Nabis pseudoferus;14.8088174;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Nabidae;Nabis;pseudoferus;;7.5;c;3.21;A;AEG21-KEFJun2017A
Longitarsus succineus;1.838644715;3;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;succineus;;1.95;h;3.21;B;AEG21-KEFJun2017B
Polymerus unifasciatus;50.27858816;6;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;3.21;B;AEG21-KEFJun2017B
Erigone dentipalpis;1.700491952;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Araneae;Labidognatha;Linyphiidae;Erigone;dentipalpis;;2.33;c;3.21;B;AEG21-KEFJun2017B
Macrosteles cristatus;5.870412247;2;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;3.21;B;AEG21-KEFJun2017B
Polymerus nigrita;4.177468668;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Polymerus;nigrita;;4.4;h;3.21;B;AEG21-KEFJun2017B
Anaceratagallia ribauti;3.585662525;2;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Anaceratagallia;ribauti;;3.05;h;3.21;B;AEG21-KEFJun2017B
Oedemera lurida;10.18957986;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Coleoptera;Polyphaga;Oedemeridae;Oedemera;lurida;;6;o;3.21;B;AEG21-KEFJun2017B
Plagiognathus chrysanthemi;2.594811622;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Plagiognathus;chrysanthemi;;3.6;h;3.21;B;AEG21-KEFJun2017B
Notostira elongata;13.88881353;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Notostira;elongata;;7.3;h;3.21;B;AEG21-KEFJun2017B
Longitarsus melanocephalus;2.281802005;2;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;melanocephalus;;2.5;h;3.21;B;AEG21-KEFJun2017B
Criocoris crassicornis;4.221468714;2;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Criocoris;crassicornis;;3.3;h;3.21;B;AEG21-KEFJun2017B
Longitarsus pratensis;0.373683633;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;pratensis;;1.6;h;3.21;B;AEG21-KEFJun2017B
Adelphocoris lineolatus;19.37825854;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Adelphocoris;lineolatus;;8.4;h;3.21;B;AEG21-KEFJun2017B
Megadelphax sordidulus;3.738201942;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Fulgoromorpha;Delphacidae;Megadelphax;sordidulus;;4.15;h;3.21;B;AEG21-KEFJun2017B
Stenotus binotatus;10.93396701;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Stenotus;binotatus;;6.6;h;3.21;B;AEG21-KEFJun2017B
Philaenus spumarius;9.371238401;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;3.21;B;AEG21-KEFJun2017B
Adelphocoris seticornis;14.8088174;1;AEG21-KEFJun2017;ALB;AEG21;AEG21_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Adelphocoris;seticornis;;7.5;h;3.21;B;AEG21-KEFJun2017B
Psammotettix confinis;2.662795209;1;AEG21-KEFAug2017;ALB;AEG21;AEG21_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;confinis;;3.6;h;3.21;A;AEG21-KEFAug2017A
Tiso vagans;1.184573758;1;AEG21-KEFAug2017;ALB;AEG21;AEG21_2017;Aug;2017;Araneae;Labidognatha;Linyphiidae;Tiso;vagans;;2.03;c;3.21;A;AEG21-KEFAug2017A
Laodelphax striatellus;8.654345952;4;AEG21-KEFAug2017;ALB;AEG21;AEG21_2017;Aug;2017;Hemiptera;Fulgoromorpha;Delphacidae;Laodelphax;striatellus;;3.3;h;3.21;B;AEG21-KEFAug2017B
