species;biomass;count;year;plot;month;sampling;epitheton;genus;tribus;subfamily;family;order;class;length;feeding_guild;TrapID;replicate;Rep_ID
Genistogethes carinulatus;0.50169126;1;2017;B2A01;Jul;2017 main suction Jul 1 A;carinulatus;Genistogethes;NA;;Nitidulidae;Coleoptera;Insecta;1.8;herbivore;2017_B2A01_Jul;B;2017_B2A01_JulB
Phyllotreta cruciferae;0.782399543;1;2017;B2A01;Jul;2017 main suction Jul 1 A;cruciferae;Phyllotreta;NA;;Chrysomelidae;Coleoptera;Insecta;2.15;herbivore;2017_B2A01_Jul;B;2017_B2A01_JulB
Tychius pusillus;0.522865727;1;2017;B2A01;Jul;2017 main suction Jul 1 A;pusillus;Tychius;NA;;Curculionidae;Coleoptera;Insecta;1.83;herbivore;2017_B2A01_Jul;B;2017_B2A01_JulB
Hypera venusta;2.033642901;1;2017;B2A01;Jul;2017 main suction Jul 1 A;venusta;Hypera;NA;;Curculionidae;Coleoptera;Insecta;3.15;herbivore;2017_B2A01_Jul;B;2017_B2A01_JulB
Trigonotylus caelestialium;10.35345268;1;2017;B2A01;Jul;2017 main suction Jul 1 A;caelestialium;Trigonotylus;NA;;Miridae;Hemiptera;Insecta;6.45;herbivore;2017_B2A01_Jul;B;2017_B2A01_JulB
Mymaridae;0.006147203;1;2017;B2A02;Jul;2017 main suction Jul 1 B;;;NA;;Mymaridae;Hymenoptera;Insecta;0.575;predator;2017_B2A02_Jul;A;2017_B2A02_JulA
Deltocephalus pulicaris;1.472307384;1;2017;B2A02;Jul;2017 main suction Jul 1 A;pulicaris;Deltocephalus;NA;;Cicadellidae;Hemiptera;Insecta;2.808333333;herbivore;2017_B2A02_Jul;A;2017_B2A02_JulA
Tychius pusillus;1.045731454;2;2017;B2A02;Jul;2017 main suction Jul 1 B;pusillus;Tychius;NA;;Curculionidae;Coleoptera;Insecta;1.83;herbivore;2017_B2A02_Jul;A;2017_B2A02_JulA
Kosswigianella exigua;0.867575918;1;2017;B2A02;Jul;2017 main suction Jul 1 B;exigua;Kosswigianella;NA;;Delphacidae;Hemiptera;Insecta;2.25;herbivore;2017_B2A02_Jul;A;2017_B2A02_JulA
Alysiinae;0.905475714;1;2017;B2A02;Jul;2017 main suction Jul 1 A;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2017_B2A02_Jul;A;2017_B2A02_JulA
Erigone dentipalpis;1.681415259;1;2017;B2A02;Jul;2017 main suction Jul 1 B;dentipalpis;Erigone;NA;;Linyphiidae;Araneae;Arachnida;2.32;predator;2017_B2A02_Jul;A;2017_B2A02_JulA
Longitarsus pratensis;0.373683633;1;2017;B2A02;Jul;2017 main suction Jul 1 B;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2017_B2A02_Jul;A;2017_B2A02_JulA
Encyrtidae;0.148035728;1;2017;B2A02;Jul;2017 main suction Jul 1 B;;;NA;;Encyrtidae;Hymenoptera;Insecta;1.65;predator;2017_B2A02_Jul;B;2017_B2A02_JulB
Tychius pusillus;1.045731454;2;2017;B2A02;Jul;2017 main suction Jul 1 B;pusillus;Tychius;NA;;Curculionidae;Coleoptera;Insecta;1.83;herbivore;2017_B2A02_Jul;B;2017_B2A02_JulB
Erigone dentipalpis;1.681415259;1;2017;B2A02;Jul;2017 main suction Jul 1 B;dentipalpis;Erigone;NA;;Linyphiidae;Araneae;Arachnida;2.32;predator;2017_B2A02_Jul;B;2017_B2A02_JulB
Psammotettix helvolus;3.727511544;2;2017;B2A02;Jul;2017 main suction Jul 1 B;helvolus;Psammotettix;NA;;Cicadellidae;Hemiptera;Insecta;3.1;herbivore;2017_B2A02_Jul;B;2017_B2A02_JulB
Javesella pellucida;2.982111359;1;2017;B2A02;Jul;2017 main suction Jul 1 A;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2017_B2A02_Jul;B;2017_B2A02_JulB
Mermessus trilobatus;5.440453184;1;2017;B2A02;Jul;2017 main suction Jul 1 B;trilobatus;Mermessus;NA;;Linyphiidae;Araneae;Arachnida;3.63;predator;2017_B2A02_Jul;B;2017_B2A02_JulB
Euscelis incisus;9.327928526;3;2017;B2A03;Jul;2017 main suction Jul 1 A;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Javesella pellucida;71.57067261;24;2017;B2A03;Jul;2017 main suction Jul 1 A;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Pachygnatha degeeri;30.4029836;6;2017;B2A03;Jul;2017 main suction Jul 1 B;degeeri;Pachygnatha;NA;;Tetragnathidae;Araneae;Arachnida;3.55;predator;2017_B2A03_Jul;A;2017_B2A03_JulA
Squamapion cineraceum;0.652944126;1;2017;B2A03;Jul;2017 main suction Jul 1 B;cineraceum;Squamapion;NA;;Apionidae;Coleoptera;Insecta;2;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Longitarsus luridus;4.298198614;8;2017;B2A03;Jul;2017 main suction Jul 1 B;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Aphrodes bicinctus;9.189001532;1;2017;B2A03;Jul;2017 main suction Jul 1 B;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Zacladus geranii;1.583313792;1;2017;B2A03;Jul;2017 main suction Jul 1 B;geranii;Zacladus;NA;;Curculionidae;Coleoptera;Insecta;2.85;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Brassicogethes aeneus;5.901473253;8;2017;B2A03;Jul;2017 main suction Jul 1 A;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Aphidiinae;1.144779279;2;2017;B2A03;Jul;2017 main suction Jul 1 B;;;NA;Aphidiinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2017_B2A03_Jul;A;2017_B2A03_JulA
Halticus apterus;2.45258373;2;2017;B2A03;Jul;2017 main suction Jul 1 A;apterus;Halticus;NA;;Miridae;Hemiptera;Insecta;2.625;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Eupteryx notata;1.045868373;1;2017;B2A03;Jul;2017 main suction Jul 1 B;notata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;2.433333333;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Longitarsus pratensis;0.373683633;1;2017;B2A03;Jul;2017 main suction Jul 1 B;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Eucoilidae;0.833235715;1;2017;B2A03;Jul;2017 main suction Jul 1 A;;;NA;;Eucoilidae;Hymenoptera;Insecta;2.925;predator;2017_B2A03_Jul;A;2017_B2A03_JulA
Erigone dentipalpis;1.681415259;1;2017;B2A03;Jul;2017 main suction Jul 1 B;dentipalpis;Erigone;NA;;Linyphiidae;Araneae;Arachnida;2.32;predator;2017_B2A03_Jul;A;2017_B2A03_JulA
Megadelphax sordidula;17.89511481;5;2017;B2A03;Jul;2017 main suction Jul 1 B;sordidula;Megadelphax;NA;;Delphacidae;Hemiptera;Insecta;4.075;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Alysiinae;1.810951427;2;2017;B2A03;Jul;2017 main suction Jul 1 A;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2017_B2A03_Jul;A;2017_B2A03_JulA
Megalonotus chiragrus;8.464269167;1;2017;B2A03;Jul;2017 main suction Jul 1 B;chiragrus;Megalonotus;NA;;Rhyparochromidae;Hemiptera;Insecta;5.925;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Aphthona pallida;2.017889353;5;2017;B2A03;Jul;2017 main suction Jul 1 A;pallida;Aphthona;NA;;Chrysomelidae;Coleoptera;Insecta;1.65;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Scelionidae;5.667578896;4;2017;B2A03;Jul;2017 main suction Jul 1 A;;;NA;;Scelionidae;Hymenoptera;Insecta;3.75;predator;2017_B2A03_Jul;A;2017_B2A03_JulA
Rhyparochromus pini;14.45981361;1;2017;B2A03;Jul;2017 main suction Jul 1 B;pini;Rhyparochromus;NA;;Rhyparochromidae;Hemiptera;Insecta;7.425;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Sitona hispidulus;3.696170856;1;2017;B2A03;Jul;2017 main suction Jul 1 B;hispidulus;Sitona;NA;;Curculionidae;Coleoptera;Insecta;4;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Tychius pusillus;0.522865727;1;2017;B2A03;Jul;2017 main suction Jul 1 B;pusillus;Tychius;NA;;Curculionidae;Coleoptera;Insecta;1.83;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Lygus pratensis;10.64141951;1;2017;B2A03;Jul;2017 main suction Jul 1 B;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Catapion seniculus;0.537274827;1;2017;B2A03;Jul;2017 main suction Jul 1 B;seniculus;Catapion;NA;;Apionidae;Coleoptera;Insecta;1.85;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Ischnopterapion virens;0.612881572;1;2017;B2A03;Jul;2017 main suction Jul 1 A;virens;Ischnopterapion;NA;;Apionidae;Coleoptera;Insecta;1.95;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Ischnopterapion loti;0.838156421;1;2017;B2A03;Jul;2017 main suction Jul 1 B;loti;Ischnopterapion;NA;;Apionidae;Coleoptera;Insecta;2.21;herbivore;2017_B2A03_Jul;A;2017_B2A03_JulA
Longitarsus luridus;11.28277136;21;2017;B2A03;Jul;2017 main suction Jul 1 A;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Brassicogethes aeneus;6.639157409;9;2017;B2A03;Jul;2017 main suction Jul 1 A;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Aphidiinae;1.717168917;3;2017;B2A03;Jul;2017 main suction Jul 1 A;;;NA;Aphidiinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2017_B2A03_Jul;B;2017_B2A03_JulB
Javesella pellucida;56.66011581;19;2017;B2A03;Jul;2017 main suction Jul 1 B;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Halticus apterus;2.45258373;2;2017;B2A03;Jul;2017 main suction Jul 1 A;apterus;Halticus;NA;;Miridae;Hemiptera;Insecta;2.625;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Emelyanoviana mollicula;2.010424871;1;2017;B2A03;Jul;2017 main suction Jul 1 A;mollicula;Emelyanoviana;NA;;Cicadellidae;Hemiptera;Insecta;3.2;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Longitarsus pratensis;0.747367266;2;2017;B2A03;Jul;2017 main suction Jul 1 B;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Zacladus geranii;1.583313792;1;2017;B2A03;Jul;2017 main suction Jul 1 B;geranii;Zacladus;NA;;Curculionidae;Coleoptera;Insecta;2.85;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Sitona hispidulus;3.696170856;1;2017;B2A03;Jul;2017 main suction Jul 1 B;hispidulus;Sitona;NA;;Curculionidae;Coleoptera;Insecta;4;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Macrosteles laevis;5.685377537;2;2017;B2A03;Jul;2017 main suction Jul 1 B;laevis;Macrosteles;NA;;Cicadellidae;Hemiptera;Insecta;3.7;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Aphrodes bicinctus;9.189001532;1;2017;B2A03;Jul;2017 main suction Jul 1 A;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Sitona lineatus;3.696170856;1;2017;B2A03;Jul;2017 main suction Jul 1 B;lineatus;Sitona;NA;;Curculionidae;Coleoptera;Insecta;4;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Eulophidae;0.290330427;3;2017;B2A03;Jul;2017 main suction Jul 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2017_B2A03_Jul;B;2017_B2A03_JulB
Aphthona pallida;0.807155741;2;2017;B2A03;Jul;2017 main suction Jul 1 B;pallida;Aphthona;NA;;Chrysomelidae;Coleoptera;Insecta;1.65;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Megadelphax sordidula;7.158045926;2;2017;B2A03;Jul;2017 main suction Jul 1 B;sordidula;Megadelphax;NA;;Delphacidae;Hemiptera;Insecta;4.075;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Pachygnatha degeeri;15.2014918;3;2017;B2A03;Jul;2017 main suction Jul 1 A;degeeri;Pachygnatha;NA;;Tetragnathidae;Araneae;Arachnida;3.55;predator;2017_B2A03_Jul;B;2017_B2A03_JulB
Alysiinae;0.905475714;1;2017;B2A03;Jul;2017 main suction Jul 1 A;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2017_B2A03_Jul;B;2017_B2A03_JulB
Cryptinae;34.15382416;2;2017;B2A03;Jul;2017 main suction Jul 1 B;;;NA;Cryptinae;Ichneumonidae;Hymenoptera;Insecta;10.5;predator;2017_B2A03_Jul;B;2017_B2A03_JulB
Scelionidae;4.250684172;3;2017;B2A03;Jul;2017 main suction Jul 1 A;;;NA;;Scelionidae;Hymenoptera;Insecta;3.75;predator;2017_B2A03_Jul;B;2017_B2A03_JulB
Apion frumentarium;2.250093075;1;2017;B2A03;Jul;2017 main suction Jul 1 B;frumentarium;Apion;NA;;Apionidae;Coleoptera;Insecta;3.28;herbivore;2017_B2A03_Jul;B;2017_B2A03_JulB
Erigone dentipalpis;1.681415259;1;2017;B2A03;Jul;2017 main suction Jul 1 B;dentipalpis;Erigone;NA;;Linyphiidae;Araneae;Arachnida;2.32;predator;2017_B2A03_Jul;B;2017_B2A03_JulB
Aphthona pallida;1.210733612;3;2017;B2A04;Jul;2017 main suction Jul 1 B;pallida;Aphthona;NA;;Chrysomelidae;Coleoptera;Insecta;1.65;herbivore;2017_B2A04_Jul;A;2017_B2A04_JulA
Anaceratagallia ribauti;1.757967145;1;2017;B2A04;Jul;2017 main suction Jul 1 B;ribauti;Anaceratagallia;NA;;Cicadellidae;Hemiptera;Insecta;3.025;herbivore;2017_B2A04_Jul;A;2017_B2A04_JulA
Euscelis incisus;3.109309509;1;2017;B2A04;Jul;2017 main suction Jul 1 A;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2017_B2A04_Jul;A;2017_B2A04_JulA
Ips transversa;0.652944126;1;2017;B2A04;Jul;2017 main suction Jul 1 A;transversa;Ips;NA;;Curculionidae;Coleoptera;Insecta;2;detritivore;2017_B2A04_Jul;A;2017_B2A04_JulA
Emelyanoviana mollicula;2.010424871;1;2017;B2A04;Jul;2017 main suction Jul 1 B;mollicula;Emelyanoviana;NA;;Cicadellidae;Hemiptera;Insecta;3.2;herbivore;2017_B2A04_Jul;A;2017_B2A04_JulA
Longitarsus luridus;1.074549654;2;2017;B2A04;Jul;2017 main suction Jul 1 B;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2017_B2A04_Jul;A;2017_B2A04_JulA
Zacladus geranii;1.583313792;1;2017;B2A04;Jul;2017 main suction Jul 1 B;geranii;Zacladus;NA;;Curculionidae;Coleoptera;Insecta;2.85;herbivore;2017_B2A04_Jul;A;2017_B2A04_JulA
Anyphaena accentuata;19.70177337;1;2017;B2A04;Jul;2017 main suction Jul 1 B;accentuata;Anyphaena;NA;;Anyphaenidae;Araneae;Arachnida;6.25;predator;2017_B2A04_Jul;B;2017_B2A04_JulB
Mangora acalypha;9.596244387;1;2017;B2A04;Jul;2017 main suction Jul 1 B;acalypha;Mangora;NA;;Araneidae;Araneae;Arachnida;4.5;predator;2017_B2A04_Jul;B;2017_B2A04_JulB
Longitarsus luridus;1.61182448;3;2017;B2A04;Jul;2017 main suction Jul 1 A;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2017_B2A04_Jul;B;2017_B2A04_JulB
Mymaridae;0.006147203;1;2017;B2A04;Jul;2017 main suction Jul 1 B;;;NA;;Mymaridae;Hymenoptera;Insecta;0.575;predator;2017_B2A04_Jul;B;2017_B2A04_JulB
Brassicogethes aeneus;4.42610494;6;2017;B2A04;Jul;2017 main suction Jul 1 A;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2017_B2A04_Jul;B;2017_B2A04_JulB
Aphthona pallida;0.403577871;1;2017;B2A04;Jul;2017 main suction Jul 1 B;pallida;Aphthona;NA;;Chrysomelidae;Coleoptera;Insecta;1.65;herbivore;2017_B2A04_Jul;B;2017_B2A04_JulB
Longitarsus pratensis;13.82629443;37;2017;B2A06;Jul;2017 main suction Jul 1 A;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2017_B2A06_Jul;A;2017_B2A06_JulA
Megalonotus chiragrus;8.464269167;1;2017;B2A06;Jul;2017 main suction Jul 1 B;chiragrus;Megalonotus;NA;;Rhyparochromidae;Hemiptera;Insecta;5.925;herbivore;2017_B2A06_Jul;A;2017_B2A06_JulA
Scelionidae;2.833789448;2;2017;B2A06;Jul;2017 main suction Jul 1 B;;;NA;;Scelionidae;Hymenoptera;Insecta;3.75;predator;2017_B2A06_Jul;A;2017_B2A06_JulA
Longitarsus luridus;1.61182448;3;2017;B2A06;Jul;2017 main suction Jul 1 A;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2017_B2A06_Jul;A;2017_B2A06_JulA
Anaceratagallia ribauti;1.757967146;1;2017;B2A06;Jul;2017 main suction Jul 1 A;ribauti;Anaceratagallia;NA;;Cicadellidae;Hemiptera;Insecta;3.025;herbivore;2017_B2A06_Jul;A;2017_B2A06_JulA
Monotoma longicollis;0.345159298;1;2017;B2A06;Jul;2017 main suction Jul 1 A;longicollis;Monotoma;NA;;Monotomidae;Coleoptera;Insecta;1.55;omnivore;2017_B2A06_Jul;A;2017_B2A06_JulA
Longitarsus melanocephalus;3.703242393;3;2017;B2A06;Jul;2017 main suction Jul 1 B;melanocephalus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;2.58;herbivore;2017_B2A06_Jul;A;2017_B2A06_JulA
Lygus pratensis;21.28283902;2;2017;B2A06;Jul;2017 main suction Jul 1 B;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2017_B2A06_Jul;A;2017_B2A06_JulA
Euscelis incisus;6.218619017;2;2017;B2A06;Jul;2017 main suction Jul 1 A;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2017_B2A06_Jul;A;2017_B2A06_JulA
Aphidiinae;0.572389639;1;2017;B2A06;Jul;2017 main suction Jul 1 B;;;NA;Aphidiinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2017_B2A06_Jul;B;2017_B2A06_JulB
Longitarsus pratensis;14.57366169;39;2017;B2A06;Jul;2017 main suction Jul 1 A;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2017_B2A06_Jul;B;2017_B2A06_JulB
Lygus pratensis;63.84851707;6;2017;B2A06;Jul;2017 main suction Jul 1 A;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2017_B2A06_Jul;B;2017_B2A06_JulB
Pteromalidae;33.10657038;2;2017;B2A06;Jul;2017 main suction Jul 1 B;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2017_B2A06_Jul;B;2017_B2A06_JulB
Longitarsus luridus;2.149099307;4;2017;B2A06;Jul;2017 main suction Jul 1 A;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2017_B2A06_Jul;B;2017_B2A06_JulB
Trichosirocalus troglodytes;2.397656626;2;2017;B2A06;Jul;2017 main suction Jul 1 A;troglodytes;Trichosirocalus;NA;;Curculionidae;Coleoptera;Insecta;2.55;herbivore;2017_B2A06_Jul;B;2017_B2A06_JulB
Braconinae;10.17595103;2;2017;B2A06;Jul;2017 main suction Jul 1 B;;;NA;Braconinae;Braconidae;Hymenoptera;Insecta;5.5;predator;2017_B2A06_Jul;B;2017_B2A06_JulB
Longitarsus melanocephalus;3.703242392;3;2017;B2A06;Jul;2017 main suction Jul 1 B;melanocephalus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;2.58;herbivore;2017_B2A06_Jul;B;2017_B2A06_JulB
Euscelis incisus;6.218619018;2;2017;B2A06;Jul;2017 main suction Jul 1 A;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2017_B2A06_Jul;B;2017_B2A06_JulB
Brassicogethes aeneus;1.475368314;2;2017;B2A06;Jul;2017 main suction Jul 1 A;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2017_B2A06_Jul;B;2017_B2A06_JulB
Megaspilidae;0.899398061;1;2017;B2A06;Jul;2017 main suction Jul 1 A;;;NA;;Megaspilidae;Hymenoptera;Insecta;3;predator;2017_B2A06_Jul;B;2017_B2A06_JulB
Sitona lineatus;3.696170856;1;2017;B2A06;Jul;2017 main suction Jul 1 B;lineatus;Sitona;NA;;Curculionidae;Coleoptera;Insecta;4;herbivore;2017_B2A06_Jul;B;2017_B2A06_JulB
Doryctinae;16.9988618;1;2017;B2A06;Jul;2017 main suction Jul 1 B;;;NA;Doryctinae;Braconidae;Hymenoptera;Insecta;8.5;predator;2017_B2A06_Jul;B;2017_B2A06_JulB
Encyrtidae;0.148035728;1;2017;B2A06;Jul;2017 main suction Jul 1 A;;;NA;;Encyrtidae;Hymenoptera;Insecta;1.65;predator;2017_B2A06_Jul;B;2017_B2A06_JulB
Anaceratagallia ribauti;1.757967146;1;2017;B2A06;Jul;2017 main suction Jul 1 A;ribauti;Anaceratagallia;NA;;Cicadellidae;Hemiptera;Insecta;3.025;herbivore;2017_B2A06_Jul;B;2017_B2A06_JulB
Eulophidae;0.096776809;1;2017;B2A06;Jul;2017 main suction Jul 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2017_B2A06_Jul;B;2017_B2A06_JulB
Lygus rugulipennis;6.209775999;1;2017;B2A06;Jul;2017 main suction Jul 1 B;rugulipennis;Lygus;NA;;Miridae;Hemiptera;Insecta;5.2;omnivore;2017_B2A06_Jul;B;2017_B2A06_JulB
Scelionidae;2.833789448;2;2017;B2A06;Jul;2017 main suction Jul 1 A;;;NA;;Scelionidae;Hymenoptera;Insecta;3.75;predator;2017_B2A06_Jul;B;2017_B2A06_JulB
Longitarsus luridus;3.760923786;7;2017;B2A08;Jul;2017 main suction Jul 1 B;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2017_B2A08_Jul;A;2017_B2A08_JulA
Brassicogethes aeneus;8.114525723;11;2017;B2A08;Jul;2017 main suction Jul 1 B;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2017_B2A08_Jul;A;2017_B2A08_JulA
Aphidiinae;0.572389639;1;2017;B2A08;Jul;2017 main suction Jul 1 B;;;NA;Aphidiinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2017_B2A08_Jul;A;2017_B2A08_JulA
Longitarsus atricillus;1.140901002;1;2017;B2A08;Jul;2017 main suction Jul 1 A;atricillus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;2.5;herbivore;2017_B2A08_Jul;A;2017_B2A08_JulA
Proctotrupidae;5.61312886;1;2017;B2A08;Jul;2017 main suction Jul 1 B;;;NA;;Proctotrupidae;Hymenoptera;Insecta;6;predator;2017_B2A08_Jul;A;2017_B2A08_JulA
Eupteryx notata;1.045868373;1;2017;B2A08;Jul;2017 main suction Jul 1 B;notata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;2.433333333;herbivore;2017_B2A08_Jul;A;2017_B2A08_JulA
Javesella pellucida;2.982111359;1;2017;B2A08;Jul;2017 main suction Jul 1 B;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2017_B2A08_Jul;A;2017_B2A08_JulA
Ischnopterapion virens;0.612881572;1;2017;B2A08;Jul;2017 main suction Jul 1 A;virens;Ischnopterapion;NA;;Apionidae;Coleoptera;Insecta;1.95;herbivore;2017_B2A08_Jul;B;2017_B2A08_JulB
Encyrtidae;0.148035728;1;2017;B2A08;Jul;2017 main suction Jul 1 B;;;NA;;Encyrtidae;Hymenoptera;Insecta;1.65;predator;2017_B2A08_Jul;B;2017_B2A08_JulB
Brassicogethes aeneus;5.163789096;7;2017;B2A08;Jul;2017 main suction Jul 1 B;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2017_B2A08_Jul;B;2017_B2A08_JulB
Longitarsus luridus;3.22364896;6;2017;B2A08;Jul;2017 main suction Jul 1 B;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2017_B2A08_Jul;B;2017_B2A08_JulB
Scelionidae;1.416894724;1;2017;B2A08;Jul;2017 main suction Jul 1 B;;;NA;;Scelionidae;Hymenoptera;Insecta;3.75;predator;2017_B2A08_Jul;B;2017_B2A08_JulB
Tychius pusillus;0.522865727;1;2017;B2A08;Jul;2017 main suction Jul 1 A;pusillus;Tychius;NA;;Curculionidae;Coleoptera;Insecta;1.83;herbivore;2017_B2A08_Jul;B;2017_B2A08_JulB
Euscelis incisus;3.109309509;1;2017;B2A08;Jul;2017 main suction Jul 1 B;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2017_B2A08_Jul;B;2017_B2A08_JulB
Ceraphronidae;0.241616762;1;2017;B2A08;Jul;2017 main suction Jul 1 A;;;NA;;Ceraphronidae;Hymenoptera;Insecta;2.05;predator;2017_B2A08_Jul;B;2017_B2A08_JulB
Longitarsus pratensis;7.099989028;19;2017;B2A09;Jul;2017 main suction Jul 1 B;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2017_B2A09_Jul;A;2017_B2A09_JulA
Lygus pratensis;10.64141951;1;2017;B2A09;Jul;2017 main suction Jul 1 B;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2017_B2A09_Jul;A;2017_B2A09_JulA
Lasioglossum morio;9.276251404;1;2017;B2A09;Jul;2017 main suction Jul 1 A;morio;Lasioglossum;NA;;Halictidae;Hymenoptera;Insecta;6.5;herbivore;2017_B2A09_Jul;A;2017_B2A09_JulA
Longitarsus luridus;3.760923786;7;2017;B2A09;Jul;2017 main suction Jul 1 B;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2017_B2A09_Jul;A;2017_B2A09_JulA
